"","Drug","Targets","Disease","Enrichment.biomarker","Marker.type","Biomarker.relationship","Biomarker.logical.conditions","Model","PMID","Article.title","Key.sentence","Pubmed.link","Note","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"11","NA",NA,"BREAST CANCER","ER, PR, HER2, CDC20, BIRC5","protein expression, protein expression,  protein expression, protein expression","positive, positive, positive, positive, positive","AND, AND, AND, AND","patients","32043523","Identification of prognostic significance of BIRC5 in breast cancer using integrative bioinformatics analysis.","BIRC5 may be adopted as a promising predictive marker and potential therapeutic target in breast cancer.","https://www.ncbi.nlm.nih.gov/pubmed/32043523","No drug was mentioned in the abstract.","NA","56956252","ENSG00000091831, ENSG00000134551, ENSG00000141736, ENSG00000117399, ENSG00000089685","MONDO_0007254","failed","failed term"
"12","NA",NA,"BREAST CANCER，TNBC,NON-TNBC","TFF1","protein expression","TFF1 overexpression",NA,"patients","31986408","Trefoil factor 1 (TFF1) is a potential prognostic biomarker with functional significance in breast cancers","Expression of TFF1 was associated with clinical characters of patients with BC. Serum TFF1 could be used to predict prognosis of patients with BC, especially non-TNBC","https://www.ncbi.nlm.nih.gov/pubmed/?term=31986408","No drug was mentioned in the abstract.","NA","56956252","ENSG00000160182","MONDO_0007254","TFF1 PROTEIN EXPRESSION TFF1 OVEREXPRESSION","pass"
"13","NA",NA,"BREAST CANCER","CK19,CLEC3E,KLK11","gene expression","positive, positive, positive","OR, OR, OR","patients","31983196","Novel Biomarkers Aim at Detecting Metastatic Sentinel Lymph Nodes in Breast Cancer","Regarding the findings, CLEC3A along with CK19 can be used as a promising marker with high sensitivity and specificity for the detection of metastatic SLN.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31983196","No drug was mentioned in the abstract.","NA","56956252","ENSG00000171345, NA, ENSG00000167757","MONDO_0007254","failed","failed term"
"14","NA",NA,"BREAST CANCER","TP53","gene expression","TP53 deficiency or silence",NA,"patients","31983017","The novel TP53 3'-end methylation pattern associated with its expression would be a potential biomarker for breast cancer detection","The 3'-end methylation of TP53 might be a crucial regulator for its expression in breast cancer, suggesting that TP53 3'-end hyper-methylation associated with its lower expression could be a potential biomarker for breast cancer diagnosis. ","https://www.ncbi.nlm.nih.gov/pubmed/?term=31983017","No drug was mentioned in the abstract.","NA","56956252","ENSG00000141510","MONDO_0007254","TP53 GENE EXPRESSION TP53 DEFICIENCY OR SILENCE","pass"
"15","NA",NA,"BREAST CANCER , INVASIVE DUCTAL CARCINOMA (IDC)","MCM3,Ki67,ER,HER2","protein expression, protein expression, protein expression, protein expression","positive, positive, positive, positive, positive","OR, AND, AND, AND","patients","31980982","Gene expression profiling revealed MCM3 to be a better marker than Ki67 in prognosis of invasive ductal breast carcinoma patients","COL1A1 and MCM3 were significantly up-regulated in IDC tissues, of which only MCM3 was related to cell proliferation.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31980982",NA,"NA","56956252","ENSG00000112118, ENSG00000148773, ENSG00000091831, ENSG00000141736","EFO_0000186","failed","failed term"
"16","NA",NA,"BREAST CANCER","hs-cTnT, NT-proBNP","protein expression, protein expression","positive, positive","AND","patients","31959034","Changes in Cardiovascular Biomarkers With Breast Cancer Therapy and Associations With Cardiac Dysfunction.","Cardiovascular biomarkers may play an important role in CTRCD risk prediction in patients with breast cancer who receive cardiotoxic cancer therapy, particularly in those treated with sequential anthracycline and trastuzumab therapy","https://www.ncbi.nlm.nih.gov/pubmed/?term=31959034","No drug was mentioned in the abstract.","NA","56956252","NA, NA","MONDO_0007254","HS-CTNT PROTEIN EXPRESSION POSITIVE AND NT-PROBNP PROTEIN EXPRESSION POSITIVE","failed biomarker"
"17","NA",NA,"BREAST CANCER, TBNC","BRCAness","mutation","mutation",NA,"patients","31958182","Using Next generation Sequencing to Redefine BRCAness in Triple-Negative Breast Cancer.","The sequencing results showed that 13, 14, and 14 patients had BRCA, non-BRCA HR gene, and non-HR DDR gene mutations, respectively. aCGH revealed that BRCA-mutated and HR gene-mutated TNBC shared similar BRCAness features","https://www.ncbi.nlm.nih.gov/pubmed/?term=31958182","No drug was mentioned in the abstract.","NA","56956252","NA","MONDO_0007254","BRCANESS MUTATION MUTATION","failed biomarker"
"18","NA",NA,"BREAST CANCER","cytokeratin 18/19,N-cadherin, vimentin, plastin-3","protein expression, protein expression, protein expression, protein expression","positive, positive, positive, positive","OR, AND, AND","patients","31947504","N-Cadherin mRNA Levels in Peripheral Blood Could Be a Potential Indicator of New Metastases in Breast Cancer: A Pilot Study.","N-cadherin mRNA levels in blood may serve as a novel prognostic biomarker predicting NM, including recurrence, in breast cancer patients.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31947504","No drug was mentioned in the abstract.","NA","56956252","NA, ENSG00000170558, ENSG00000026025, ENSG00000102024","MONDO_0007254","CYTOKERATIN 18/19 PROTEIN EXPRESSION POSITIVE OR N-CADHERIN PROTEIN EXPRESSION POSITIVE AND VIMENTIN PROTEIN EXPRESSION POSITIVE AND PLASTIN-3 PROTEIN EXPRESSION POSITIVE","failed biomarker"
"19","NA",NA,"BREAST CANCER","Twist","gene expression","Twist overexpression",NA,"patients","31942413","TWIST1 Gene Expression as a Biomarker for Predicting Primary Doxorubicin Resistance in Breast Cancer","There was a significant difference in TWIST gene expression between responder and non responder tumors . The TWIST gene expression of the drug-resistant group was higher than the responsive group","https://www.ncbi.nlm.nih.gov/pubmed/?term=31942413",NA,"NA","56956252","ENSG00000122691","MONDO_0007254","TWIST GENE EXPRESSION TWIST OVEREXPRESSION","pass"
"20","NA",NA,"TNBC","CD163, PD-L1","gene expression, gene expression","positive, positive","AND, AND","patients","31937323","Assessment of outcomes and novel immune biomarkers in metaplastic breast cancer: a single institution retrospective study.","Metaplastic breast cancer samples demonstrated greater amount of CD163 in the stroma and PD-L1 in the tumor than triple-negative breast cancer samples, although more triple-negative breast cancer samples were positive for CD8 in the tumor than metaplastic breast cancer samples","https://www.ncbi.nlm.nih.gov/pubmed/?term=31937323","No drug was mentioned in the abstract.","NA","56956252","ENSG00000177575, ENSG00000120217","NA","failed","failed disease,failed term"
"21","NA",NA,"TNBC","MALAT1, BACH1","gene expression, gene expression","positive, positive","AND","patients","31939443","MALAT1 and BACH1 are prognostic biomarkers for triple-negative breast cancer","MALAT1 and BACH1 expression was significantly correlated with tumor-node-metastasis stage, distant metastasis, pathological stage, and survival outcomes of patients. Patients with high MALAT1 and BACH1 expression exhibited shorter overall survival and disease-free survival.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31939443","No drug was mentioned in the abstract.","NA","56956252","ENSG00000251562, ENSG00000136492","NA","MALAT1 GENE EXPRESSION POSITIVE AND BACH1 GENE EXPRESSION POSITIVE","failed disease"
"22","NA",NA,"LOCALLY ADVANCED BREAST CANCER","LRR-NRR-MRR","others","positive",NA,"patients","32042669","Novel lymphocyte to red blood cell ratio (LRR), neutrophil to red blood cell ratio (NRR), monocyte to red blood cell ratio (MRR) as predictive and prognostic biomarkers for locally advanced breast cancer.","The LRR-NRR-MRR score could be identified as a new predictive biomarker for the therapeutic effect of neoadjuvant therapy and an independent prognostic factor for both DFS and OS for locally advanced breast cancer.","https://www.ncbi.nlm.nih.gov/pubmed/32042669","No drug was mentioned in the abstract.","NA","56956252","NA","MONDO_0007254","LRR-NRR-MRR OTHERS POSITIVE","failed biomarker"
"23","NA",NA,"BREAST CANCER","SETD 3","protein expression","SETD3 overexpression",NA,"patients","32042016","SETD3 acts as a prognostic marker in breast cancer patients and modulates the viability and invasion of breast cancer cells.","Our study suggests that SETD3 expression can act as a subtype-specific biomarker for breast cancer progression and prognosis.","https://www.ncbi.nlm.nih.gov/pubmed/32042016","No drug was mentioned in the abstract.","NA","56956252","NA","MONDO_0007254","SETD 3 PROTEIN EXPRESSION SETD3 OVEREXPRESSION","failed biomarker"
"24","NA",NA,"BREAST CANCER","TUSC 8","lncRNA","positive",NA,"patients","32039833","Long non-coding RNA TUSC8 inhibits breast cancer growth and metastasis via miR-190b-5p/MYLIP axis.","These results suggested that TUSC8 inhibited breast cancer growth and metastasis via miR-190b-5p/MYLIP axis","https://www.ncbi.nlm.nih.gov/pubmed/32039833","No drug was mentioned in the abstract.","NA","56956252","NA","MONDO_0007254","TUSC 8 LNCRNA POSITIVE","failed biomarker"
"25","NA",NA,"BREAST CANCER","miR-21, miR-125b, miR-100, miR-425-5p, miR-200c, miR-183, miR-182","gene expression, gene expression, gene expression, gene expression, gene expression, gene expression, gene expression, gene expression","positive, negative, negative, positive, positive, positive, positive, positive","AND, AND, AND, AND, OR, OR","patients","32040529","miRNA expression in advanced Algerian breast cancer tissues","The objective of this study is to explore the expression of several miRNAs reported to be deregulated in breast cancer. ","https://www.ncbi.nlm.nih.gov/pubmed/32040529","No drug was mentioned in the abstract.","NA","56956252","ENSG00000284190, NA, NA, NA, NA, NA, ENSG00000207990","MONDO_0007254","failed","failed term"
"26","NA",NA,"BREAST CANCER","ERBB2","protein expression","negative",NA,"patients","32036454","New HER2-negative breast cancer subtype responsive to anti-HER2 therapy identified.","confirm the prevalence of abnormal HER2 signaling amongst HER2-negative breast cancer patients (HER2-/HSFs+).","https://www.ncbi.nlm.nih.gov/pubmed/32036454","No drug was mentioned in the abstract.","NA","56956252","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"27","NA",NA,"BREAST CANCER","PPEF 1","protein expression","positive",NA,"patients","32021267","The Clinical Significance of PPEF1 as a Promising Biomarker and Its Potential Mechanism in Breast Cancer.","PPEF1 exerted a tumorigenic role and involved in molecular mechanism of tumorigenesis in BC which served as a promising biomarker for prognosis and diagnosis.","https://www.ncbi.nlm.nih.gov/pubmed/32021267","No drug was mentioned in the abstract.","NA","56956252","ENSG00000086717","MONDO_0007254","PPEF 1 PROTEIN EXPRESSION POSITIVE","pass"
"28","NA",NA,"BREAST CANCER","TP53TG1，Rp5-1061H20.4","gene expression, gene expression,","positive, positive","AND","patients","32020607","Survival analysis for long noncoding RNAs identifies TP53TG1 as an antioncogenic target for thebreast cancer.","TP53TG1, Rp5-1061H2. 4 are lncRNAs that are significantly related to the prognosis of breast cancer and are regulated by methylation status.","https://www.ncbi.nlm.nih.gov/pubmed/32020607","No drug was mentioned in the abstract.","NA","56956252","ENSG00000182165, NA","MONDO_0007254","TP53TG1 GENE EXPRESSION POSITIVE AND RP5-1061H20.4 GENE EXPRESSION POSITIVE","pass"
"29","NA",NA,"TNBC","ADAM 12","protein expression","ADAM12 silencing",NA,"patients","32019179","ADAM12 is A Potential Therapeutic Target Regulated by Hypomethylation in Triple-NegativeBreast Cancer.","Our results indicate that ADAM12 is a potential therapeutic target and its hypomethylation could be a poor outcome biomarker in TNBC.","https://www.ncbi.nlm.nih.gov/pubmed/32019179","No drug was mentioned in the abstract.","NA","56956252","NA","NA","ADAM 12 PROTEIN EXPRESSION ADAM12 SILENCING","failed biomarker,failed disease"
"30","NA",NA,"LABC","CfDNA","DNA","positive",NA,"patients","32017472","Identification of the plasma total cfDNA level before and after chemotherapy as an indicator of the neoadjuvant chemotherapy response in locally advanced breast cancer.","cfDNA was suggested to be a promising diagnostic indicator.","https://www.ncbi.nlm.nih.gov/pubmed/32017472",NA,"NA","56956252","NA","NA","CFDNA DNA POSITIVE","failed biomarker,failed disease"
"31","NA",NA,"TNBC","BRCA","mutation","positve",NA,"patients","32013831","BRCA Mutational Status is a Promising Predictive Biomarker for Platinum-based Chemotherapy in Triple-Negative Breast Cancer.","The BRCA mutation status has the potential to be a predictive biomarker for platinum-based chemotherapy in TNBC.","https://www.ncbi.nlm.nih.gov/pubmed/32013831","No drug was mentioned in the abstract.","NA","56956252","ENSG00000012048","NA","BRCA MUTATION POSITVE","failed disease"
"32","NA",NA,"BREAST CANCER","CMTMs","protein expression","positive",NA,"patients","31998718","Bioinformatics-Based Discovery of CKLF-Like MARVEL Transmembrane Member 5 as a Novel Biomarker for Breast Cancer.","Our findings indicate that CMTM5 can be used as a prognostic biomarker and potential therapeutic target for breast cancer.","https://www.ncbi.nlm.nih.gov/pubmed/31998718","No drug was mentioned in the abstract.","NA","56956252","NA","MONDO_0007254","CMTMS PROTEIN EXPRESSION POSITIVE","failed biomarker"
"33","NA",NA,"BREAST CANCER","XIST，TSIX","gene expression, gene expression,","positive, positive","MISSING","patients","31998636","XIST and TSIX: Novel Cancer Immune Biomarkers in PD-L1-Overexpressing Breast Cancer Patients.","This correlative study has shed light on the role of both lncRNAs XIST and TSIX as potential non-invasive BC immune biomarkers.","https://www.ncbi.nlm.nih.gov/pubmed/31998636","No drug was mentioned in the abstract.","NA","56956252","ENSG00000229807, ENSG00000270641","MONDO_0007254","XIST GENE EXPRESSION POSITIVE MISSING TSIX GENE EXPRESSION POSITIVE","pass"
"34","NA",NA,"BREAST CANCER","BRCA1, BRCA2","mutation,mutation","positive, positive","OR","patients","31998560","Differentially expressed genes and key molecules of BRCA1/2-mutant breast cancer: evidence from bioinformatics analyses.","Our research provides comprehensive and new insights for the identification of biomarkers connected with BRCA mutations, availing diagnosis and treatment of breast cancer and BRCA1/2-mutant breast cancer patients.","https://www.ncbi.nlm.nih.gov/pubmed/31998560","No drug was mentioned in the abstract.","NA","56956252","ENSG00000012048, ENSG00000139618","MONDO_0007254","BRCA1 MUTATION POSITIVE OR BRCA2 MUTATION POSITIVE","pass"
"35","NA",NA,"BREAST CANCER","HER2, LINC 00520 ( rs8012083)","protein expression,  gene expression","positive, positive,  positive, positive","AND","patients","31997582","Characterization of lncRNA LINC00520 and functional polymorphisms associated with breast cancer susceptibility in Chinese Han population.","The genetic variant of LINC00520 was related to the susceptibility of BC","https://www.ncbi.nlm.nih.gov/pubmed/31997582","No drug was mentioned in the abstract.","NA","56956252","ENSG00000141736, NA","MONDO_0007254","failed","failed term"
"36","NA",NA,"TAMOXIFEN TREATED BREAST CANCER","SPP1/osteopontin","protein expression","positive",NA,"patients","31996744","Evaluation of SPP1/osteopontin expression as predictor of recurrence in tamoxifen treated breast cancer.","This indicates that SPP1 mRNA is a stronger prognostic marker compared to tumor tissue OPN protein.","https://www.ncbi.nlm.nih.gov/pubmed/31996744",NA,"NA","56956252","NA","MONDO_0007254","SPP1/OSTEOPONTIN PROTEIN EXPRESSION POSITIVE","failed biomarker"
"37","NA",NA,"TRIPLE-NEGATIVE BREAST CANCER","ESR1, PGR, ERBB2, Exo-AnxA 2","protein expression，protein expression, protein expression, protein expression","negative, negative, negative, positive","AND,AND,AND","patients","31992335","Serum exosomal-annexin A2 is associated with African-American triple-negative breast cancer and promotes angiogenesis.","Our results demonstrated that the expression of serum exo-AnxA2 is high in AA women with TNBC and promotes angiogenesis.","https://www.ncbi.nlm.nih.gov/pubmed/31992335","No drug was mentioned in the abstract.","NA","56956252","ENSG00000091831, ENSG00000082175, ENSG00000141736, NA","EFO_0005537","ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE AND EXO-ANXA 2 PROTEIN EXPRESSION POSITIVE","pass"
"38","NA",NA,"BREAST CANCER","ZNF367","gene expression","positive",NA,"patients","31988454","Zinc finger protein 367 promotes metastasis by inhibiting the Hippo pathway in breast cancer."," Our findings addressed the importance of ZNF367 in breast cancer as a prognostic biomarker and offered a potential therapeutic strategy for the treatment of a subset of metastatic breast cancer with ZNF367 overexpression.","https://www.ncbi.nlm.nih.gov/pubmed/31988454","No drug was mentioned in the abstract.","NA","56956252","ENSG00000165244","MONDO_0007254","ZNF367 GENE EXPRESSION POSITIVE","pass"
"39","NA",NA,"BREAST CANCER","PON1-L55M","polymorphism","positive",NA,"patients","31983193","Association of PON1-L55M Genetic Variation and Breast Cancer Risk: A Case-Control Trial.","Our results suggest that the PON1-L55M genetic variation could be a genetic risk factor for breast cancer risk and it could be considered as a molecular biomarker for screening of susceptible women.","https://www.ncbi.nlm.nih.gov/pubmed/31983193","No drug was mentioned in the abstract.","NA","56956252","NA","MONDO_0007254","PON1-L55M POLYMORPHISM POSITIVE","failed biomarker"
"40","NA",NA,"TNBC","FABP7,ART3,CT83,TTYH1","gene expression, gene expression, gene expression, gene expression,","positive, positive,  positive, positive","AND, AND, AND","patients","31974598","Identification of key genes as potential biomarkers for triple‑negative breast cancer using integrating genomics analysis.","In conclusion, this study identified FABP 7 and CT83 key genes as potential biomarkers involved in TNBC","https://www.ncbi.nlm.nih.gov/pubmed/31974598","No drug was mentioned in the abstract.","NA","56956252","ENSG00000164434, ENSG00000156219, ENSG00000204019, ENSG00000167614","NA","FABP7 GENE EXPRESSION POSITIVE AND ART3 GENE EXPRESSION POSITIVE AND CT83 GENE EXPRESSION POSITIVE AND TTYH1 GENE EXPRESSION POSITIVE","failed disease"
"41","NA",NA,"BREAST CANCER","LINC01140","lncRNA","LINC01140 
overexpression",NA,"patients","31966045","Downregulation of LINC01140 is associated with adverse features of breast cancer.","LINC01140 may be a potential biomarker for the prognosis of patients with BC. ","https://www.ncbi.nlm.nih.gov/pubmed/31966045","No drug was mentioned in the abstract.","NA","56956252","ENSG00000267272","MONDO_0007254","LINC01140 LNCRNA LINC01140 
OVEREXPRESSION","pass"
"42","NA",NA,"BREAST CANCER","circ_0007255","RNA","circ_0007255 absence",NA,"patients","31962380","Circular RNA 0007255 regulates the progression of breast cancer through miR-335-5p/SIX2 axis.","Circ_0007255 functioned as a novel oncogene in the progression of BC by regulating miR-335-5p/SIX2 axis, and might be a promising biomarker for BC treatment.","https://www.ncbi.nlm.nih.gov/pubmed/31962380","No drug was mentioned in the abstract.","NA","56956252","NA","MONDO_0007254","CIRC_0007255 RNA CIRC_0007255 ABSENCE","failed biomarker"
"43","NA",NA,"BREAST CANCER","CUGB 1,IR-A","gene expression, gene expression,","positive, positive,","AND","cells","31958132","RNA-binding protein CUGBP1 controls the differential INSR splicing in molecular subtypes ofbreast cancer cells and affects cell aggressiveness.","Our data revealed the predominant mitogenic role of IR-A isoform inbreast cancer and depicted a novel interplay between INSR and CUGBP1, implicating CUGBP1 and IR-A isoform as the potential therapeutic targets and biomarkers for breast cancer.","https://www.ncbi.nlm.nih.gov/pubmed/31958132","No drug was mentioned in the abstract.","NA","56956252","NA, NA","MONDO_0007254","CUGB 1 GENE EXPRESSION POSITIVE AND IR-A GENE EXPRESSION POSITIVE","failed biomarker"
"44","NA",NA,"BREAST CANCER","MRPS 23","gene expression","positive",NA,"patients","31950385","MRPS23 amplification and gene expression in breast cancer; association with proliferation and the non-basal subtypes.","Amplification of MRPS23 is associated with higher proliferation and non-basal subtypes in breast cancer.","https://www.ncbi.nlm.nih.gov/pubmed/31950385","No drug was mentioned in the abstract.","NA","56956252","NA","MONDO_0007254","MRPS 23 GENE EXPRESSION POSITIVE","failed biomarker"
"45","NA",NA,"BREAST CANCER","SPRY4-IT1","gene expression","positive",NA,"patients","31933911","Upregulation of the long non-coding RNA SPRY4-IT1 predicts poor prognosis in breast cancer.","SPRY4-IT1 expression is an independent prognostic factor for patients with BC and may serve as a potential biomarker to predict prognosis in BC patients.","https://www.ncbi.nlm.nih.gov/pubmed/31933911","No drug was mentioned in the abstract.","NA","56956252","NA","MONDO_0007254","SPRY4-IT1 GENE EXPRESSION POSITIVE","failed biomarker"
"46","NA",NA,"BREAST CANCER","Mir-335，MMP 2，MMP 9","protein expression, protein expression, protein expression","positive, positive, positive","AND, AND","patients","31922434","Expression of MiR-335 and its target metalloproteinase genes: clinical significance in breast cancer.","MiR-335, MMP2, and MMP9 can be used as diagnostic markers in breast cancer.","https://www.ncbi.nlm.nih.gov/pubmed/31922434","No drug was mentioned in the abstract.","NA","56956252","NA, ENSG00000035862, ENSG00000157150","MONDO_0007254","MIR-335 PROTEIN EXPRESSION POSITIVE AND MMP 2 PROTEIN EXPRESSION POSITIVE AND MMP 9 PROTEIN EXPRESSION POSITIVE","failed biomarker"
"47","NA",NA,"BREAST CANCER","HMGB 1","protein expression","positive",NA,"patients","31914536","Expression of HMGB1 protein in breast cancer and its clinicopathological significance.","Nuclear and cytoplasmic HMGB1 proteins are related to multiple poor prognostic factors in breast cancer, and may be a potential biomarkerfor breast cancer treatment.","https://www.ncbi.nlm.nih.gov/pubmed/31914536","No drug was mentioned in the abstract.","NA","56956252","NA","MONDO_0007254","HMGB 1 PROTEIN EXPRESSION POSITIVE","failed biomarker"
"48","NA",NA,"HER2-POSITIVE METASTATIC BREAST CANCER","sHER 2，CA 15.3，CEA","protein expression","positive, positive, positive","AND, AND","patients","31910438","An updated evaluation of serum sHER2, CA15.3, and CEA levels as biomarkers for the response of patients with metastatic breast cancer to trastuzumab-based therapies.","The results show that regular measurement of sHER2, CA15.3, and CEA levels is useful for predicting the therapeutic response and for monitoring HER2-targeted therapy in patients with HER2-positive metastatic breast cancer.","https://www.ncbi.nlm.nih.gov/pubmed/31910438",NA,"NA","56956252","NA, ENSG00000185499, ENSG00000105388","MONDO_0007254","failed","failed biomarker,failed term"
"49","NA",NA,"TNBC","FAK","protein expression","positive",NA,"cells","31905966","Impact of FAK Expression on the Cytotoxic Effects of CIK Therapy in Triple-Negative Breast Cancer.","our findings show that CIK cell therapy combined with FAK inhibitors may be a novel therapeutic strategy for patients with TNBC.","https://www.ncbi.nlm.nih.gov/pubmed/31905966","No drug was mentioned in the abstract.","NA","56956252","ENSG00000169398","NA","FAK PROTEIN EXPRESSION POSITIVE","failed disease"
