"","Drug","Targets","Disease","Enrichment.biomarker","Marker.type","Biomarker.relationship","Model","PMID","Article.title","Key.sentence","Pubmed.link","Note","Biomarker.logical.conditions","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"11","TRASTUZUMAB",NA,"HER2-POSITIVE METASTATIC BREAST CANCER","ERBB2, CA15.3,
CEA","protein expression, protein expression, protein expression","positive, positive, positive,","patients",31910438,"An updated evaluation of serum sHER2, CA15.3, and CEA levels as biomarkers for the response of patients with metastatic breast cancer to trastuzumab-based therapies.","Regular measurement of sHER2, CA15.3, and CEA levels is useful for predicting the therapeutic response and for monitoring HER2-targeted therapy in patients with HER2-positive metastatic breast cancer.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31910438",NA,NA,"DB00072","3001322","ENSG00000141736, NA, ENSG00000105388","MONDO_0007254","failed","failed term"
"12","NA",NA,"HER2-NEGATIVE BREAST CANCER","ERBB2","protein expression","negative","patients",31907749,"Evaluation of the 12-Gene Molecular Score and the 21-Gene Recurrence Score as Predictors of Response to Neo-adjuvant Chemotherapy in Estrogen Receptor-Positive, HER2-Negative Breast Cancer.","two commercial breast cancer prognostic scores were significant predictors of response to NaCT.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31907749",NA,NA,"NA","56956252","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"13","FAK INHIBITORS",NA,"TRIPLE-NEGATIVE BREAST CANCER","FAK","protein expression","positive","patients",31905966,"Impact of FAK Expression on the Cytotoxic Effects of CIK Therapy in Triple-Negative Breast Cancer.","Our findings provide new insights into the cytotoxic effect of CIK cell therapy in TNBC treatment, and show that CIK cell therapy combined with FAK inhibitors may be a novel therapeutic strategy for patients with TNBC.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31905966",NA,NA,"NA","NA","ENSG00000169398","EFO_0005537","FAK PROTEIN EXPRESSION POSITIVE","failed drug"
"14","CHOLECALCIFEROL, TAMOXIFEN",NA,"BREAST CANCER","VEGF-A, Ang-2,
Hif-1, high-sensitivity C-reactive protein ","protein expression, protein expression, protein expression, protein expression","positive, positive, positive, positive","patients",31901710,"Effects of cholecalciferol supplementation on serum angiogenic biomarkers in breast cancer patients treated with tamoxifen: A controlled randomized clinical trial.","Cholecalciferol supplementation achieved sufficient efficacy among patients with BC taking tamoxifen and could be effective in the reduction of angiogenic biomarkers particularly dependent on the infiltration status of the tumor to vessels. ","https://www.ncbi.nlm.nih.gov/pubmed/?term=31901710",NA,NA,"DB00169,DB00675","5280795, 2733526","ENSG00000112715, ENSG00000091879, ENSG00000168209, NA","MONDO_0007254","failed","failed term"
"15","MISSING",NA,"BREAST CANCER","missing",NA,NA,NA,31897326,"Predictive and Prognostic Roles of Pathological Indicators for Patients with Breast Cancer on Neoadjuvant Chemotherapy","This review summarizes and compares various predictive and prognostic indicators for patients who have received neoadjuvant chemotherapy, and analyzes their efficacy in different breast cancer subtypes.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31897326",NA,NA,"NA","NA","ENSG00000170873","MONDO_0007254","MISSING NA NA","failed drug"
"16","MISSING",NA,"EARLY STAGE BREAST CANCER","missing",NA,NA,NA,31869667,"Imperfect biomarkers for adjuvant chemotherapy in early stage breast cancer with good prognosis","To evaluate the ways in which the diffusion of biomarkers questions the autonomy of clinicians, we consider the case of chemotherapy prescription to women with early stage breast cancer and a good prognosis. ","https://www.ncbi.nlm.nih.gov/pubmed/?term=31869667",NA,NA,"NA","NA","ENSG00000170873","MONDO_0007254","MISSING NA NA","failed drug"
"17","TRASTUZUMAB",NA,"HER 2+ AND
HER2-  BREAST CANCER","ERBB2","protein expression","positive/negative","patients",31867841,"Monitoring treatment efficacy and resistance in breast cancer patients via circulating tumor DNA genomic profiling","In summary, ctDNA monitoring, particularly longitudinal analyses, provides valuable insights into the assessment of targeted therapy efficacy and gene alterations underlying trastuzumab resistance and chemotherapy resistance in HER2+ and HER2- BC patients, respectively.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31867841",NA,NA,"DB00072","3001322","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE/NEGATIVE","pass"
"18","PI3KI, ANTI-HER2 AGENTS, CHEMOTHERAPY, CDK4/6 INHIBITORS, MTOR INHIBITORS",NA,"ESTROGEN RECEPTOR-POSITIVE BREAST CANCER","ESR1, PI3Ki","protein expression,
protein expression","positive, positive","patients",31859350,"Biomarkers of response and resistance to PI3K inhibitors in estrogen receptor-positive breast cancer patients and combination therapies involving PI3K inhibitors.","In this review, we discuss biomarkers of response and resistance to PI3K inhibitors (PI3Ki) in estrogen receptor-positive breast cancer","https://www.ncbi.nlm.nih.gov/pubmed/?term=31859350",NA,NA,"NA,NA,NA,NA,NA","NA, NA, 94994, NA, NA","ENSG00000091831, NA","EFO_1000649","failed","failed drug,failed term"
"19","MISSING",NA,"METASTATIC TRIPLE-NEGATIVE BREAST CANCER","ESR1, PGR, ERBB2, Circulating Tumor Cell","protein expression, protein expression,
protein expression, others","negative, negative,negative,negative","patients",31849532,"First-Line Doublet Chemotherapy for Metastatic Triple-Negative Breast Cancer: Circulating Tumor Cell Analysis of the tnAcity Trial.","Efficacy outcomes trended positively with chemotherapy-induced elimination of CTCs, suggesting that CTC clearance may predict the chemosensitivity of mTNBC tumors.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31849532",NA,NA,"NA","NA","ENSG00000091831, ENSG00000082175, ENSG00000141736, NA","MONDO_0007254","failed","failed drug,failed term"
"20","MISSING",NA,"HR+ HER2- EARLY INVASIVE BREAST CANCER","ESR1, PGR, ERBB2, uPA/PAI-1, OncotypeDX®, MammaPrint®, PAM50,  EndoPredict®","protein expression, protein expression,
protein expression, missing, others, others,others,others","positive, positive, negative, positive, positive, positive, positive, positive","others",31849525,"Decision of Adjuvant Systemic Treatment in HR+ HER2- Early Invasive Breast Cancer: Which Biomarkers Could Help?","Even though data currently available confirm the clinical validity of these biomarkers, there is a lack of data regarding clinical utility for most of them. ","https://www.ncbi.nlm.nih.gov/pubmed/?term=31849525",NA,NA,"NA","NA","ENSG00000091831, ENSG00000082175, ENSG00000141736, ENSG00000142871, NA, NA, NA, NA","MONDO_0007254","failed","failed drug,failed term"
"21","BAY 1125976",NA,"BREAST CANCER","AKT","mutation","positive","patients",31835495,"Phase 1 Dose Escalation Study of the Allosteric AKT Inhibitor BAY 1125976 in Advanced Solid Cancer-Lack of Association between Activating AKT Mutation and AKT Inhibition-Derived Efficacy.","Genetic analyses revealed additional mutations that could promote tumor cell growth despite the inhibition of AKT1/2.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31835495",NA,NA,"NA","70817911","ENSG00000166971","MONDO_0007254","AKT MUTATION POSITIVE","pass"
"22","HDAC8 INHIBITOR",NA,"BREAST CANCER CELLS","HDAC8","protein expression","positive","cell line",31817161,"Induction of Apoptosis and Autophagy in Breast Cancer Cells by a Novel HDAC8 Inhibitor","These data suggest the translational potential of HMC to be developed into a potential therapeutic agent for breast cancer therapy.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31817161",NA,NA,"NA","NA","ENSG00000147099","MONDO_0007254","HDAC8 PROTEIN EXPRESSION POSITIVE","failed drug"
"23","PALBOCICLIB, RIBOCICLIB, ABEMACICLIB","CDK4/6","BREAST CANCER","CDK4, CDK6","protein expression, protein expression","positive, positive","patients",31777590,"Latest Overview of the Cyclin-Dependent Kinases 4/6 Inhibitors in Breast Cancer: The Past, the Present and the Future.","The CDK4/6 inhibitors application after the support of preclinic and clinic data will be helpful to provide other alternatively suitable strategies for different types of breast cancer patients.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31777590",NA,NA,"DB09073,DB11730,DB12001","11478676, 44631912, 46220502","ENSG00000135446, ENSG00000105810","MONDO_0007254","failed","failed term"
"24","NAPABUCASIN, TAMOXIFEN",NA,"ESTROGEN RECEPTOR-POSITIVE (ER+) BREAST CANCER","ESR1","protein expression","positive","cell line",31760402,"Napabucasin Attenuates Resistance of Breast Cancer Cells to Tamoxifen by Reducing Stem Cell-Like Properties.","NP might be used as an adjuvant therapy for ER+ BC patients with TAM resistance.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31760402",NA,NA,"DB12155,DB00675","10331844, 2733526","ENSG00000091831","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE","pass"
"25","Β-BLOCKADE, PROPRANOLOL",NA,"BREAST CANCER","Snail/Slug, NF-Κb, AP-1","missing, missing, missing","positive,positive,positive","patients",31754048,"Preoperative β-Blockade with Propranolol Reduces Biomarkers of Metastasis in Breast Cancer: A Phase II Randomized Trial.","These results show that β-blockade reduces biomarkers associated with metastatic potential, and support the need for larger phase III clinical trials powered to detect the impact of β-blockade on cancer recurrence and survival.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31754048",NA,NA,"NA,DB00571","NA, 62882","NA, NA, ENSG00000177606","MONDO_0007254","failed","failed drug,failed biomarker,failed term"
"26","PEMBROLIZUMAB",NA,"METASTATIC TRIPLE-NEGATIVE BREAST CANCER","ESR1, PGR, ERBB2, PD-L1","protein expression, protein expression,  protein expression, protein expression","negative, negative, negative, positive","patients",31747077,"A phase 2 clinical trial assessing the efficacy and safety of pembrolizumab and radiotherapy in patients with metastatic triple-negative breast cancer.","The combination of pembrolizumab and RT was found to be safe and demonstrated encouraging activity in patients with poor-prognosis, metastatic, triple-negative breast cancer who were unselected for programmed death-ligand 1 expression.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31747077",NA,NA,"DB09037","NA","ENSG00000091831, ENSG00000082175, ENSG00000141736, ENSG00000120217","MONDO_0007254","failed","failed term"
"27","PSAMMAPLIN A ANALOG",NA,"TRIPLE-NEGATIVE BREAST CANCER","ESR1, PGR, ERBB2, H3K79","protein expression, protein expression,  protein expression, methylation","negative, negative, negative, positive","mouse",31720371,"Targeting Histone Methyltransferase DOT1L by a Novel Psammaplin A Analog Inhibits Growth and Metastasis of Triple-Negative Breast Cancer.","We report here a new template of DOT1L inhibitor and suggest that targeting DOT1L-mediated H3K79 methylation by a novel PsA analog may be a promising strategy for the treatment of metastatic breast cancer patients.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31720371",NA,NA,"NA","NA","ENSG00000091831, ENSG00000082175, ENSG00000141736, NA","EFO_0005537","failed","failed drug,failed term"
"28","DOXORUBICIN, CYCLOPHOSPHAMIDE",NA,"TRIPLE-NEGATIVE BREAST CANCER","ESR1, PGR, ERBB2, DDIR,SEALS","protein expression, protein expression,  protein expression, gene expression","negative, negative, negative, positive, positive","patients",31657982,"Validation of the DNA Damage Immune Response Signature in Patients With Triple-Negative Breast Cancer From the SWOG 9313c Trial.","The prognostic role of sTILs and DDIR in early-stage TNBC was confirmed.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31657982",NA,NA,"DB00997,DB00531","443939, 2907","ENSG00000091831, ENSG00000082175, ENSG00000141736, NA, NA","EFO_0005537","failed","failed term"
"29","NA",NA,"TRIPLE-NEGATIVE BREAST CANCER","ESR1, PGR, ERBB2","protein expression, protein expression,  protein expression,","negative, negative, negative","cell line",31655920,"Molecular determinants of drug response in TNBC cell lines.","These findings demonstrate an integrated method to identify biomarkers of drug efficacy in TNBC where DNA predictions correlate poorly with drug response.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31655920",NA,NA,"NA","56956252","ENSG00000091831, ENSG00000082175, ENSG00000141736","EFO_0005537","failed","failed term"
"30","MISSING",NA,"BREAST CANCER","GRP 78, 
BIK, NBK","protein expression, protein expression, protein expression","positive, positive, positive","patients",31635499,"Correlation of the protein expression of GRP78 and BIK/NBK with prognostic markers in patients with breast cancer and neoadjuvant chemotherapy.","There is a potential prognostic value of GRP78 and BIK/NBK in the pathological response that merits further study addressing their interaction with other proteins","https://www.ncbi.nlm.nih.gov/pubmed/?term=31635499",NA,NA,"NA","NA","NA, ENSG00000100290, ENSG00000100290","MONDO_0007254","failed","failed drug,failed biomarker,failed term"
"31","MISSING",NA,"BREAST CANCER","microbiota","others","positive","patients",31628201,"Neoadjuvant Chemotherapy Shifts Breast Tumor Microbiota Populations to Regulate Drug Responsiveness and the Development of Metastasis.","Breast tumor microbiota are modified by therapy and affects molecular signaling.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31628201",NA,NA,"NA","NA","NA","MONDO_0007254","MICROBIOTA OTHERS POSITIVE","failed drug,failed biomarker"
"32","MISSING",NA,"HER2- EARLY BREAST CANCER","ESR1, PGR, ERBB2, FGFR1, MAP3K1","protein expression, protein expression, protein expression, amplification, 
mutation","positive, positive, negative, positive, positive","patients",31620934,"Association between FGFR1 copy numbers, MAP3K1 mutations, and survival in axillary node-positive, hormone receptor-positive, and HER2-negative early breast cancer in the PACS04 and METABRIC studies.","In axillary node-positive, HR+, and HER2- early BC, amplifications of FGFR1 gene were strongly associated with increased risk for distant disease, while mutations of MAP3K1 gene were significantly associated with decreased risk.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31620934",NA,NA,"NA","NA","ENSG00000091831, ENSG00000082175, ENSG00000141736, ENSG00000077782, ENSG00000095015","MONDO_0007254","failed","failed drug,failed term"
"33","TRASTUZUMAB",NA,"HER2-POSITIVE BREAST CANCER","ERBB2, PD-1","protein expression, protein expression","positive, positive","patients",31618954,"PD-1-Associated Gene Expression Signature of Neoadjuvant Trastuzumab-Treated Tumors Correlates with Patient Survival in HER2-Positive Breast Cancer.","We conclude that PAGES-HBC could be further developed as a prognostic predictor of trastuzumab response in HER2+ breast cancer patients and be potentially used as an alternative biomarker for anti-PD-1 therapy trials.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31618954",NA,NA,"DB00072","3001322","ENSG00000141736, ENSG00000265681","EFO_1000294","failed","failed term"
"34","ATEZOLIZUMAB, NABPACLITAXEL",NA,"METASTATIC TRIPLE-NEGATIVE BREAST CANCER","ESR1, PGR, ERBB2, PD-L1","protein expression, protein expression, protein expression, protein expression","negative, negative, negative, positive",NA,31612573,"Immunotherapy: The end of the ""dark age"" for metastatic triple-negative breast cancer?","With the demonstration of a statistically significant improvement of progression-free survival with the addition of atezolizumab to nab-paclitaxel in the first-line treatment of mTNBC, accompanied by a substantial overall survival benefit in the PD-L1-positive subgroup. ","https://www.ncbi.nlm.nih.gov/pubmed/?term=31612573",NA,NA,"DB11595,NA","NA, NA","ENSG00000091831, ENSG00000082175, ENSG00000141736, ENSG00000120217","MONDO_0007254","failed","failed term"
"35","CDK 4/6 INHIBITORS",NA,"HR+MBC","ESR1, PGR","protein expression, protein expression","positive, positive",NA,31610139,"A clinical evaluation of treatments that target cell cycle machinery in breast cancer.","In the Her2 positive subtype, the triple combination of anti Her2 therapies with CDK4/6 inhibitors and endocrine therapy seems to be a promising chemotherapy free approach.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31610139",NA,NA,"NA","NA","ENSG00000091831, ENSG00000082175","NA","failed","failed drug,failed disease,failed term"
"36","MISSING",NA,"METASTATIC BREAST CANCER","TK1, CDK9, CDK4","gene expression,   gene expression, gene expression","positive, positive, positive","patients",31346846,"Overexpression of TK1 and CDK9 in plasma-derived exosomes is associated with clinical resistance to CDK4/6 inhibitors in metastatic breast cancer patients.","The present study demonstrates that, in plasma-derived exosomes, high baseline CDK4 mRNA levels are associated with response to palbociclib plus hormonal therapy, while the increase in TK1 and CDK9 mRNA copies/ml is associated with clinical resistance.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31346846",NA,NA,"NA","NA","ENSG00000167900, ENSG00000136807, ENSG00000135446","EFO_1000984","failed","failed drug,failed term"
"37","MISSING",NA,"METASTATIC BREAST CANCER","MTHFR, TYMS, MTHFR, MTHFR","polymorphism, polymorphism, polymorphism, polymorphism","positive, positive, positive, positive","patients",31601265,"Polymorphisms of MTHFR and TYMS predict capecitabine-induced hand-foot syndrome in patients with metastatic breast cancer.","We have identified four potentially useful pharmacogenetic markers, TYMS rs2606241, TYMS rs2853741, MTHFR rs3737964, and MTHFR rs4846048 to predict capecitabine-induced HFS in MBC patients.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31601265",NA,NA,"NA","NA","ENSG00000177000, ENSG00000176890","EFO_1000984","failed","failed drug,failed term"
"38","MISSING",NA,"INVASIVE BREAST CANCER","claudins,cadherin","protein expression,   protein expression","positive, positive","patients",31572543,"Impact of chemotherapy on the expression of claudins and cadherins in invasive breast cancer.","These findings indicate that claudins-1 and -3 serve a role in the response of BC to chemotherapy.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31572543",NA,NA,"NA","NA","NA, ENSG00000039068","EFO_1000307","failed","failed drug,failed biomarker,failed term"
"39","PAN-PI3K INHIBITOR, BUPARLISIB, LETROZOLE",NA,"ER+ METASTATIC BREAST CANCER","ESR1, PIK3CA, MAP3K1","protein expression, mutation, mutation","positive, positive, positive","patients",31552290,"PIK3CA and MAP3K1 alterations imply luminal A status and are associated with clinical benefit from pan-PI3K inhibitor buparlisib and letrozole in ER+ metastatic breast cancer.","Mutations in MAP3K1 in ER+ breast cancer may be associated with clinical benefit from combined inhibition of PI3K and ER","https://www.ncbi.nlm.nih.gov/pubmed/?term=31552290",NA,NA,"NA,DB11666,DB01006","NA, 16654980, 3902","ENSG00000091831, ENSG00000121879, ENSG00000095015","MONDO_0007254","failed","failed drug,failed term"
"40","NIRAPARIB, PEMBROLIZUMAB",NA,"ADVANCED TRIPLE-NEGATIVE BREAST CANCER","ESR1, PGR, ERBB2, PD-L1， BRCA","protein expression, protein expression, protein expression, protein expression, mutation","negative, negative, negative, positive, positive","patients",31194225,"Open-Label Clinical Trial of Niraparib Combined With Pembrolizumab for Treatment of Advanced or Metastatic Triple-Negative Breast Cancer.","Combination niraparib plus pembrolizumab provides promising antitumor activity in patients with advanced or metastatic TNBC, with numerically higher response rates in those with tumor BRCA mutations.","https://www.ncbi.nlm.nih.gov/pubmed/31194225",NA,NA,"DB11793,DB09037","24958200, NA","ENSG00000091831, ENSG00000082175, ENSG00000141736, ENSG00000120217, ENSG00000012048","MONDO_0007254","failed","failed term"
